,Record_year,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2810,2021,Centre Cívic Can Verdaguer,ActivitatsDeFormacio,140.0,,,8,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.433977414,2.179080278,Nou Barris,52,la Prosperitat,96,38761
728,2021,Centre Cívic Besòs,InscripcionsActivitatsFormacio,1150.0,,,10,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.416306001,2.211478868,Sant Martí,73,la Verneda i la Pau,135,40154
5349,2021,Centre Cívic Cotxeres de Sants,Metres_quadrats,3167.0,,,3,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.375264199,2.136876024,Sants-Montjuïc,11,el Poble Sec,4,42534
16916,2021,Centre Cultural la Farinera del Clot,ActivitatsDeFormacio,75.0,,,10,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.404913599,2.188442671,Sant Martí,73,la Verneda i la Pau,132,41403
7877,2021,Centre Cívic Fort Pienc,Metres_quadrats,1306.0,,,2,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.395557419,2.182446362,L'Eixample,9,la Nova Esquerra de l'Eixample,134,53517
2755,2021,Centre Cívic Can Verdaguer,ActivitatsDeFormacio,140.0,,,8,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.433977414,2.179080278,Nou Barris,46,el Turó de la Peira,41,29442
9839,2021,Centre Cívic La Casa Elizalde,ActivitatsDeFormacio,316.0,,,2,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.394483818,2.165880676,L'Eixample,6,la Sagrada Família,48,50430
5277,2021,Centre Cívic Cotxeres de Sants,InscripcionsActivitatsFormacio,5018.0,,,3,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.375264199,2.136876024,Sants-Montjuïc,15,Hostafrancs,49,47594
13653,2021,Centre Cívic Teixonera,InscripcionsActivitatsFormacio,503.0,,,7,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.422637884,2.144554558,Horta-Guinardó,34,Can Baró,25,43107
12806,2021,Centre Cívic Sant Martí,ActivitatsDeFormacio,123.0,,,10,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.416622171,2.198563813,Sant Martí,65,el Clot,36,64428
7206,2021,Centre Cívic Font de la Guatlla,InscripcionsActivitatsFormacio,1686.0,,,3,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.370560397,2.147508546,Sants-Montjuïc,14,la Font de la Guatlla,43,47827
6818,2021,Centre Cívic El Sortidor,InscripcionsActivitatsFormacio,1095.0,,,3,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.372066797,2.162531728,Sants-Montjuïc,11,el Poble Sec,6,40849
7682,2021,Centre Cívic Fort Pienc,InscripcionsActivitatsFormacio,970.0,,,2,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.395557419,2.182446362,L'Eixample,9,la Nova Esquerra de l'Eixample,112,74658
10275,2021,Centre Cívic La Casa Elizalde,Metres_quadrats,1800.0,,,2,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.394483818,2.165880676,L'Eixample,9,la Nova Esquerra de l'Eixample,138,59616
12801,2021,Centre Cívic Sant Martí,ActivitatsDeFormacio,123.0,,,10,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.416622171,2.198563813,Sant Martí,65,el Clot,31,44588
1316,2021,Centre Cívic Can Basté,InscripcionsActivitatsFormacio,1031.0,,,8,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.430458546,2.173212158,Nou Barris,45,Porta,27,46175
760,2021,Centre Cívic Besòs,Metres_quadrats,3858.0,,,10,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.416306001,2.211478868,Sant Martí,64,el Camp de l'Arpa del Clot,20,40874
2160,2021,Centre Cívic Can Deu,InscripcionsActivitatsFormacio,792.0,,,4,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.386760961,2.132502076,Les Corts,19,les Corts,1,61362
7511,2021,Centre Cívic Fort Pienc,ActivitatsDeFormacio,90.0,,,2,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.395557419,2.182446362,L'Eixample,9,la Nova Esquerra de l'Eixample,114,56667
8755,2021,Centre Cívic Guinardó,Metres_quadrats,600.0,,,7,Ajuntament de Barcelona,Centres cívics,Centres cívics,Multidisciplinaris i altres,41.416056397,2.173322891,Horta-Guinardó,37,el Carmel,74,34177
